Дата операции;Дата платежа;Номер карты;Статус;Сумма операции;Валюта операции;Сумма платежа;Валюта платежа;Кэшбэк;Категория;MCC;Описание;Бонусы (включая кэшбэк);Округление на инвесткопилку;Сумма операции с округлением
13.10.2025 13:09:04;13.10.2025;;OK;450000,00;RUB;450000.0;RUB;;Переводы;;xxxxxxxxxx x;0,00;0,00;450000,00
12.10.2025 20:08:38;12.10.2025;*xxxx;OK;-2790,08;RUB;-2790.08;RUB;;Маркетплейсы;5300.0;xxxxxxxxxx.x;27,00;0,00;2790,08
08.10.2025 11:29:01;08.10.2025;;OK;-3000,00;RUB;-3000.0;RUB;;Платные дороги;;xxx xx-xx;30,00;0,00;3000,00
08.10.2025 08:14:25;08.10.2025;*xxxx;OK;1537,00;RUB;1537.0;RUB;;Пополнения;;xxxxxxxxxxx ;0,00;0,00;1537,00
08.10.2025 07:35:04;08.10.2025;*xxxx;OK;335,00;RUB;335.0;RUB;;Дивиденды;;xxxxxxx xxxx;0,00;0,00;335,00
22.07.2025 14:36:44;22.07.2025;*xxxx;OK;80491,47;RUB;80491,47;RUB;;Переводы;;Пополнение;0,00;0,00;80491,47
21.07.2025 12:33:18;21.07.2025;*xxxx;OK;269,00;RUB;269,00;RUB;;Дивиденды;;Выплата дивидендов по акциям;0,00;0,00;269,00
21.07.2025 11:38:55;21.07.2025;;OK;-25,00;RUB;-25,00;RUB;;Мобильная связь;;Оплата связи в роуминге;0,00;0,00;25,00
20.07.2025 22:35:14;20.07.2025;;OK;2078,00;RUB;2078,00;RUB;;Бонусы;;Зачисление кэшбэка;0,00;0,00;2078,00
20.07.2025 17:33:15;20.07.2025;;OK;-2500,00;RUB;-2500,00;RUB;;Автоуслуги;5300;xxxxx xxxxx;0,00;0,00;2500,00
18.07.2025 22:16:35;19.07.2025;*xxxx;OK;-4232,00;RUB;-4232,00;RUB;;Такси;4121;Яндекс такси ULTIMA;211,00;0,00;4232,00